Date,Bath,Morning Bowel Movement,Wake Up Early,Sleep on Time,Cycling,Night Brush,Color,Junk food,Read book when not sleeping,Productive thing,Cat cutie 🐱,agd/am,Swarma,Waffle,Burger,Pizza,Wrap,Maggie,French Fry/Chili potato,Garlic Bread,Kurkure/Snacks,Samosa/ Oily stuffs,Momos,Chicken,
2023-04-04,Entry(timestamp=2023-04-04, value=2),Entry(timestamp=2023-04-04, value=2),Entry(timestamp=2023-04-04, value=7350),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=1000),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=2),Entry(timestamp=2023-04-04, value=2),Entry(timestamp=2023-04-04, value=2),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),Entry(timestamp=2023-04-04, value=-1),
2023-04-03,Entry(timestamp=2023-04-03, value=2),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=9150),Entry(timestamp=2023-04-03, value=300),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=2),Entry(timestamp=2023-04-03, value=2),Entry(timestamp=2023-04-03, value=2),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),Entry(timestamp=2023-04-03, value=-1),
2023-04-02,Entry(timestamp=2023-04-02, value=2),Entry(timestamp=2023-04-02, value=2),Entry(timestamp=2023-04-02, value=8150),Entry(timestamp=2023-04-02, value=1550),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=3000),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=2),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=2),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),Entry(timestamp=2023-04-02, value=-1),
2023-04-01,Entry(timestamp=2023-04-01, value=2),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=5300),Entry(timestamp=2023-04-01, value=400),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=1000),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=2),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=2),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),Entry(timestamp=2023-04-01, value=-1),
2023-03-31,Entry(timestamp=2023-03-31, value=2),Entry(timestamp=2023-03-31, value=2),Entry(timestamp=2023-03-31, value=8000),Entry(timestamp=2023-03-31, value=150),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=1000),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=2),Entry(timestamp=2023-03-31, value=2),Entry(timestamp=2023-03-31, value=2),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=2),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),Entry(timestamp=2023-03-31, value=-1),
2023-03-30,Entry(timestamp=2023-03-30, value=2),Entry(timestamp=2023-03-30, value=2),Entry(timestamp=2023-03-30, value=7300),Entry(timestamp=2023-03-30, value=11450),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=2000),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=2),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=2),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),Entry(timestamp=2023-03-30, value=-1),
2023-03-29,Entry(timestamp=2023-03-29, value=2),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=7000),Entry(timestamp=2023-03-29, value=11550),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=1000),Entry(timestamp=2023-03-29, value=3000),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=2),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=2),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),Entry(timestamp=2023-03-29, value=-1),
2023-03-28,Entry(timestamp=2023-03-28, value=2),Entry(timestamp=2023-03-28, value=2),Entry(timestamp=2023-03-28, value=7300),Entry(timestamp=2023-03-28, value=11550),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=1000),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=2),Entry(timestamp=2023-03-28, value=2),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),Entry(timestamp=2023-03-28, value=-1),
2023-03-27,Entry(timestamp=2023-03-27, value=2),Entry(timestamp=2023-03-27, value=2),Entry(timestamp=2023-03-27, value=7300),Entry(timestamp=2023-03-27, value=11200),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=1000),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=2),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=2),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),Entry(timestamp=2023-03-27, value=-1),
2023-03-26,Entry(timestamp=2023-03-26, value=2),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=7450),Entry(timestamp=2023-03-26, value=11000),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=1000),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=2),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=-1),Entry(timestamp=2023-03-26, value=2),
2023-03-25,Entry(timestamp=2023-03-25, value=2),Entry(timestamp=2023-03-25, value=2),Entry(timestamp=2023-03-25, value=7300),Entry(timestamp=2023-03-25, value=11300),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=1000),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=-1),Entry(timestamp=2023-03-25, value=2),
