Date,Bath,Morning Bowel Movement,Wake Up Early,Sleep on Time,Cycling,Night Brush,Color,Junk food,Read book when not sleeping,Productive thing,Cat cutie 🐱,agd/am,Swarma,Waffle,Burger,Pizza,Wrap,Maggie,French Fry/Chili potato,Garlic Bread,Kurkure/Snacks,Samosa/ Oily stuffs,Momos,Chicken,
2023-04-04,0.9419,0.6754,0.8265,0.6874,0.0139,0.0369,0.5712,0.3232,0.0549,0.5282,0.3295,0.3396,0.0031,0.0169,0.0000,0.0278,0.0564,0.0557,0.0318,0.0045,0.1536,0.0089,0.0105,0.1402,
2023-04-03,0.9387,0.6576,0.8270,0.7250,0.0139,0.0389,0.5477,0.3391,0.0579,0.5023,0.2928,0.3034,0.0032,0.0179,0.0000,0.0293,0.0595,0.0588,0.0336,0.0047,0.1620,0.0094,0.0111,0.1479,
2023-04-02,0.9353,0.6937,0.8175,0.7482,0.0139,0.0411,0.5765,0.3559,0.0610,0.4751,0.2541,0.2653,0.0034,0.0189,0.0000,0.0309,0.0627,0.0620,0.0354,0.0050,0.1709,0.0099,0.0117,0.1560,
2023-04-01,0.9318,0.6769,0.8127,0.7344,0.0140,0.0433,0.5533,0.3737,0.0644,0.4463,0.2680,0.2250,0.0036,0.0199,0.0000,0.0326,0.0662,0.0654,0.0373,0.0052,0.1803,0.0105,0.0123,0.1646,
2023-03-31,0.9281,0.7140,0.8250,0.7526,0.0140,0.0457,0.5289,0.3925,0.0679,0.4160,0.2827,0.1826,0.0038,0.0210,0.0000,0.0344,0.0698,0.0689,0.0394,0.0055,0.1902,0.0111,0.0130,0.1736,
2023-03-30,0.9241,0.6983,0.8215,0.7856,0.0141,0.0482,0.5568,0.3592,0.0716,0.3840,0.2434,0.1378,0.0040,0.0221,0.0000,0.0363,0.0189,0.0727,0.0415,0.0058,0.2006,0.0117,0.0137,0.1831,
2023-03-29,0.9200,0.6818,0.8220,0.7738,0.0142,0.0508,0.5325,0.3773,0.0755,0.3503,0.2567,0.0906,0.0042,0.0233,0.0000,0.0383,0.0199,0.0767,0.0438,0.0062,0.2116,0.0123,0.0144,0.1931,
2023-03-28,0.9156,0.7191,0.8244,0.7615,0.0143,0.0536,0.5069,0.3432,0.0797,0.3695,0.2708,0.0956,0.0045,0.0246,0.0000,0.0404,0.0210,0.0261,0.0462,0.0065,0.1684,0.0130,0.0152,0.2037,
2023-03-27,0.9109,0.7037,0.8252,0.7484,0.0144,0.0566,0.4799,0.3605,0.0840,0.3349,0.2308,0.1008,0.0047,0.0260,0.0000,0.0426,0.0221,0.0276,0.0487,0.0068,0.1776,0.0137,0.0161,0.2148,
2023-03-26,0.9061,0.6875,0.8259,0.7346,0.0145,0.0597,0.4514,0.3787,0.0339,0.3533,0.1887,0.1063,0.0050,0.0274,0.0000,0.0449,0.0233,0.0291,0.0514,0.0072,0.1873,0.0144,0.0169,0.2266,
2023-03-25,0.9009,0.7251,0.8258,0.7201,0.0147,0.0629,0.4751,0.3447,0.0357,0.3178,0.1990,0.1121,0.0052,0.0289,0.0000,0.0474,0.0246,0.0307,0.0542,0.0076,0.1976,0.0152,0.0179,0.1842,
2023-03-24,0.8955,0.7101,0.8266,0.7047,0.0148,0.0664,0.4463,0.3621,0.0377,0.3352,0.2099,0.1183,0.0055,0.0305,0.0000,0.0500,0.0260,0.0323,0.0572,0.0080,0.2084,0.0161,0.0189,0.1396,
2023-03-23,0.8898,0.6942,0.8293,0.6886,0.0150,0.0700,0.4160,0.3272,0.0397,0.2988,0.1667,0.1247,0.0058,0.0321,0.0000,0.0527,0.0274,0.0341,0.0603,0.0085,0.1650,0.0169,0.0199,0.0924,
2023-03-22,0.8837,0.6775,0.8303,0.6715,0.0152,0.0738,0.3840,0.3438,0.0419,0.3152,0.1758,0.1316,0.0062,0.0339,0.0000,0.0556,0.0289,0.0360,0.0636,0.0089,0.1741,0.0179,0.0210,0.0975,
2023-03-21,0.8774,0.7146,0.8210,0.6535,0.0155,0.0779,0.3503,0.3613,0.0442,0.3325,0.1307,0.0840,0.0065,0.0357,0.0000,0.0587,0.0305,0.0380,0.0671,0.0094,0.1836,0.0189,0.0221,0.0481,
2023-03-20,0.8707,0.6989,0.8224,0.6346,0.0157,0.0822,0.3147,0.3798,0.0466,0.2959,0.1378,0.0339,0.0068,0.0377,0.0000,0.0619,0.0321,0.0400,0.0708,0.0099,0.1937,0.0199,0.0233,0.0507,
2023-03-19,0.8636,0.6824,0.8291,0.6665,0.0160,0.0867,0.3309,0.3458,0.0492,0.3121,0.1454,0.0357,0.0072,0.0398,0.0000,0.0105,0.0339,0.0422,0.0199,0.0105,0.2043,0.0210,0.0246,0.0535,
2023-03-18,0.8561,0.6651,0.8295,0.6483,0.0163,0.0914,0.3481,0.3636,0.0519,0.3292,0.1533,0.0377,0.0076,0.0419,0.0000,0.0111,0.0357,0.0445,0.0210,0.0111,0.2155,0.0221,0.0260,0.0564,
2023-03-17,0.8482,0.6467,0.8305,0.6290,0.0167,0.0964,0.3663,0.3823,0.0547,0.3472,0.1617,0.0397,0.0080,0.0442,0.0000,0.0117,0.0377,0.0470,0.0222,0.0117,0.2273,0.0233,0.0274,0.0595,
2023-03-16,0.8399,0.6274,0.8309,0.6470,0.0170,0.1017,0.3856,0.4022,0.0577,0.3663,0.1706,0.0419,0.0085,0.0467,0.0000,0.0123,0.0398,0.0496,0.0234,0.0123,0.2397,0.0246,0.0289,0.0628,
2023-03-15,0.8311,0.6070,0.8278,0.6276,0.0174,0.1073,0.4059,0.4232,0.0609,0.3863,0.1251,0.0442,0.0089,0.0492,0.0000,0.0130,0.0419,0.0523,0.0246,0.0130,0.2529,0.0260,0.0305,0.0662,
2023-03-14,0.8219,0.5854,0.8244,0.6565,0.0178,0.1131,0.3734,0.3916,0.0642,0.3527,0.1320,0.0466,0.0094,0.0519,0.0000,0.0137,0.0442,0.0551,0.0260,0.0137,0.2119,0.0274,0.0321,0.0698,
2023-03-13,0.8121,0.5627,0.8261,0.6376,0.0183,0.1193,0.3391,0.3583,0.0130,0.3173,0.0845,0.0492,0.0099,0.0000,0.0000,0.0144,0.0467,0.0582,0.0274,0.0144,0.2235,0.0289,0.0339,0.0737,
2023-03-12,0.8019,0.5388,0.8226,0.6178,0.0188,0.1259,0.3029,0.3231,0.0137,0.3346,0.0891,0.0519,0.0105,0.0000,0.0000,0.0152,0.0492,0.0613,0.0289,0.0152,0.1810,0.0305,0.0357,0.0777,
